Ukraine,14831434,16209603
UnitedArabEmirates,3229383,1176212
UnitedKingdom,21037700,20491800
UnitedStates,105197868,105713776
Uruguay,1067756,1099281
Uzbekistan,10113829,10226825
Vanuatu,77824,79764
Venezuela,9369676,9654469
Vietnam,32731492,32647929
British VirginIslands,11658,12809
U.S. VirginIslands,30404,35828
WallisandFutuna,5315,5212
WestBank,874783,831767
WesternSahara,159364,163490
Yemen,7346612,7158370
Zambia,3769875,3762083
Zimbabwe,4006873,3992324
